색상	언급 횟수
코랄	4
아이보리	2
라이트 핑크	2
라이트 브라운	2
피치색	2
베이지	2
라이트 블루	2
연두색	2
페일 토프 	1
인디핑크	2
녹색	2
오렌지	2
피치	2
탠 브라운 	1
코랄 핑크	1
브라운	1
피치 그린 1 
라이트 카멜	1
쿠퍼 브라운	1
살구	1
선샤인 옐로우	1
옐로우	1
핑크	1
코랄	1
비비드 오렌지	1
다홍빛 레드	1
살구	1
피치 컬러	1
애쉬바이올렛	1
애쉬베이지	1
골드오렌지브라운	1
애쉬핑크	1
코랄	1
밝은 오렌지	1
아쿠아 그린	1
연한 노란색	1
아이보리	1
아이보리색	1
살구색	1
담황색	1
골든 브라운	1
브라이트 코랄	1
파스텔 핑크	1
토마토 레드	1
아쿠아	1
코발트 블루	1
라이트 카멜	1
노란빛 	1
산호색	1
주황색	1
노란색	1
오렌지 레드	1
옐로우	1
페일 아프리콧	1
살구색	1
크림 베이지	1
피치 크림	1
복숭아	1
산호	1
연어	1
골든 옐로우	1
라임 그린	1
연한 살구색	1
민트	1
웜베이지	1
크림색	1
